# {"t_start": 1704792580.1884503, "env_id": "PctDiscrete-v0"} 
r,l,t
5.67,22,12.561121
4.82,18,17.755769
3.4,13,21.983076
5.52,25,30.046459
6.6,32,39.587484
5.44,20,45.064235
1.98,9,47.896147
5.16,22,57.338049
3.44,9,60.00899
4.83,21,66.102846
4.16,17,70.322073
1.88,10,73.134245
4.97,19,78.530775
6.13,27,85.83145
2.18,9,88.289927
4.55,25,94.815545
4.34,18,99.867637
6.44,34,108.975284
5.79,21,115.106398
3.65,17,119.50909
5.17,21,125.319237
5.0,19,130.716545
6.97,22,136.595661
5.66,28,144.129592
4.59,14,147.956765
7.17,31,156.333046
6.21,28,164.149792
2.85,7,166.045596
4.83,27,173.526727
5.4,28,181.09874
3.92,17,185.813577
1.81,11,188.810527
5.8,23,194.657321
4.86,24,201.586755
2.77,10,204.009796
3.18,18,209.033788
4.46,21,214.97653
3.78,16,219.362238
5.94,29,227.794945
4.73,17,232.737148
5.86,25,239.692495
4.4,18,244.585337
4.86,29,265.573519
4.31,22,271.467578
5.57,20,276.694799
2.94,12,279.634851
5.89,18,284.438916
3.23,14,288.308877
5.44,22,294.44381
5.27,24,301.951437
4.94,25,309.585565
5.55,30,318.120206
5.14,18,323.028969
6.02,30,331.274556
5.72,22,336.869352
4.44,13,340.25408
5.73,19,345.364578
2.46,11,348.348192
3.28,14,352.209651
3.48,13,355.802355
5.58,29,364.057588
6.24,21,369.741785
5.07,26,376.953082
6.34,24,383.476244
5.44,28,391.43902
5.02,21,396.97991
6.06,22,403.287689
5.25,16,407.22431
5.59,16,411.879768
4.07,21,417.464575
5.75,23,423.60934
5.28,26,430.865674
4.99,24,436.801344
6.84,25,443.754045
3.11,14,447.863494
4.28,20,453.415983
5.47,20,459.076102
3.64,15,463.028692
4.16,18,467.914125
3.69,15,471.99561
6.72,16,476.595857
6.14,26,483.805966
5.53,21,489.112304
4.97,17,494.007642
4.8,26,501.304108
4.03,13,504.967654
3.4,21,510.642323
5.74,25,523.11261
7.06,35,532.770811
5.65,23,539.191943
4.88,21,544.99265
5.79,23,551.161422
5.1,15,555.423325
5.33,29,563.732632
4.29,19,568.894824
5.92,21,574.186777
4.8,19,579.1517
5.89,31,587.729565
5.01,18,592.85094
5.57,18,597.802884
2.08,12,601.85137
5.39,25,609.996426
5.97,24,616.8537
4.56,21,622.706692
6.12,23,629.040488
4.79,24,635.747477
6.69,29,644.305223
5.54,35,654.108352
6.33,30,662.673003
5.28,22,668.645302
6.94,34,678.233705
6.13,18,683.782947
4.66,15,687.736326
5.83,29,695.857132
5.71,22,701.881018
7.08,36,712.09214
6.59,30,720.645422
5.56,19,725.957728
4.94,17,730.526622
6.59,27,738.304399
6.39,23,744.629462
4.29,9,747.058389
6.49,20,752.785544
6.05,27,760.392636
7.64,26,767.675593
5.44,29,775.919852
2.69,14,780.101975
4.07,17,785.041398
3.9,10,787.796812
5.42,26,795.322044
4.76,23,802.431078
7.0,35,812.686102
2.77,13,816.714138
7.03,36,826.956794
4.92,24,834.006094
6.16,28,842.344571
7.23,24,848.703682
6.01,24,855.902737
5.89,25,863.192159
6.61,26,870.969989
5.31,24,877.823698
5.36,28,885.707543
5.85,29,894.208181
6.4,20,901.228039
6.11,24,908.545306
4.39,18,913.949912
6.3,26,921.769785
6.31,28,930.11419
6.19,24,936.892963
5.64,22,943.298662
7.11,30,952.052981
6.12,27,960.091845
6.59,30,968.799742
6.67,27,976.919752
5.82,26,984.443422
5.75,24,991.554054
5.63,20,997.397544
6.47,26,1004.79722
5.09,20,1010.8821
5.94,24,1018.13765
6.72,23,1024.897876
6.05,32,1034.942299
4.83,22,1041.329546
4.61,21,1047.46231
3.22,15,1052.044825
6.44,33,1061.971289
6.68,31,1071.329651
5.07,19,1076.878558
5.96,22,1083.704288
4.71,23,1090.508229
6.89,23,1097.286795
4.32,14,1101.41554
3.73,17,1106.401625
7.11,39,1118.38792
7.38,30,1127.341114
7.5,31,1136.582328
6.33,23,1143.570128
5.11,17,1148.621342
7.42,29,1157.597576
5.51,26,1165.105744
6.55,22,1172.03788
5.19,23,1179.037067
7.82,35,1189.362044
5.74,19,1194.797158
6.82,41,1206.924787
7.66,28,1215.245891
6.29,22,1222.067529
7.07,33,1231.816518
8.28,28,1240.108572
5.99,22,1246.596015
6.64,31,1255.34045
6.32,27,1263.6149
6.77,20,1269.319556
7.25,27,1277.619358
7.65,28,1286.052157
6.61,30,1294.794922
5.51,20,1301.072188
6.46,19,1306.633705
4.75,17,1311.653743
4.17,22,1318.09424
5.91,25,1325.488958
0.84,6,1327.255065
5.19,16,1332.109769
6.56,29,1340.247187
5.45,20,1346.272125
4.52,23,1352.640998
7.51,35,1363.166909
5.69,25,1370.574129
5.27,21,1376.770452
5.45,21,1382.827621
6.5,28,1390.708877
5.34,22,1397.263399
5.6,27,1405.271271
6.2,29,1414.16773
6.23,23,1420.959065
5.27,23,1427.728931
5.31,24,1435.156668
6.69,22,1441.811848
7.21,24,1449.000075
5.42,24,1455.903111
4.26,18,1461.302141
5.39,17,1466.504623
6.91,33,1475.595942
5.86,21,1481.724944
6.93,29,1490.034079
7.31,31,1498.908834
6.88,35,1509.672049
5.61,15,1514.039083
4.93,18,1519.55269
5.7,26,1527.343055
7.0,28,1535.724212
6.34,25,1543.387285
6.42,23,1549.870764
6.38,24,1557.228726
7.61,33,1566.965717
6.48,27,1575.401367
6.46,24,1582.315561
6.49,22,1588.328762
6.86,24,1595.575689
5.97,28,1603.989609
6.84,32,1613.422041
4.15,17,1618.467622
6.02,26,1626.15617
7.23,28,1634.352039
5.95,21,1640.594764
2.83,19,1646.249328
6.59,19,1651.807765
6.63,31,1661.460072
6.18,22,1668.017556
5.74,26,1676.017071
6.37,31,1685.298559
6.62,23,1692.099246
7.21,29,1700.552646
6.47,30,1709.876234
5.36,23,1717.213926
6.92,22,1723.781949
6.75,23,1730.774071
5.33,20,1736.645014
4.66,18,1741.905165
5.51,18,1747.426677
5.75,24,1754.642107
6.93,23,1761.10871
7.03,21,1767.430173
7.51,36,1778.575756
5.93,20,1784.883143
5.44,22,1791.307805
7.1,28,1799.486785
5.36,25,1806.622401
5.43,20,1812.707378
6.69,36,1823.503541
3.07,16,1827.978439
5.67,23,1835.146858
7.65,34,1845.071985
6.5,24,1851.939526
6.29,36,1862.507067
7.37,20,1868.478754
5.27,22,1874.86873
6.49,26,1882.645821
7.09,37,1893.872447
5.84,22,1900.523627
5.11,22,1906.845986
6.55,25,1914.059947
6.26,27,1922.021331
6.11,25,1929.549281
7.78,44,1943.00491
5.65,19,1948.776018
7.46,31,1957.956707
6.36,37,1969.277181
4.58,33,1979.151838
6.83,23,1985.735122
5.65,25,1992.652763
6.64,29,2001.473812
5.37,23,2008.478635
5.39,27,2016.690644
5.39,24,2023.754567
5.16,20,2030.188719
6.84,27,2038.117418
5.85,21,2044.488696
5.43,22,2051.104616
5.3,27,2059.209935
5.08,21,2065.653262
6.83,21,2071.709031
6.54,27,2080.070419
7.22,36,2090.651091
6.14,23,2097.513419
6.74,29,2105.738961
4.69,22,2112.370218
5.7,25,2119.932056
5.26,25,2127.748847
5.78,26,2135.330667
5.63,31,2144.061626
4.94,18,2149.512841
7.73,37,2160.453502
6.13,29,2169.006546
6.66,24,2176.181108
6.67,32,2185.586658
7.9,33,2195.064842
7.02,24,2202.2187
6.73,33,2212.217079
5.16,23,2219.143449
4.57,20,2225.058273
6.29,25,2232.372537
6.56,33,2242.213635
6.39,27,2250.098021
5.71,17,2255.312053
5.09,11,2258.66025
6.62,33,2269.432758
5.63,19,2275.10033
5.67,22,2281.680254
5.71,16,2286.425857
5.35,28,2295.037826
6.33,32,2304.499992
7.76,24,2311.822059
7.22,28,2320.500484
6.74,19,2326.121524
5.73,22,2332.698494
6.43,26,2340.154376
